"full_name","ast_tov_ratio","avg_ast","games_played"
"Mike Conley","4.67","2.80","45"
"Ayo Dosunmu","4.00","2.67","3"
"Bones Hyland","3.00","2.20","56"
"Donte DiVincenzo","2.79","4.18","56"
"Joe Ingles","2.14","0.28","54"
"Julius Randle","2.10","5.39","56"
"Jaylen Clark","1.72","0.57","54"
"Jaden McDaniels","1.67","2.87","54"
"Rob Dillingham","1.61","1.14","51"
"Naz Reid","1.54","2.48","56"
"Anthony Edwards","1.38","3.72","46"
"Rudy Gobert","1.27","1.61","56"
"Johnny Juzang","1.20","0.12","50"
"Terrence Shannon Jr.","0.93","0.61","23"
"Joan Beringer","0.87","0.14","49"
"Leonard Miller","0.56","0.10","52"
