"game_id","opp_bucket","off_rank","def_rank","opponent_team_name","wolves_win","game_id-2","team_id","season","is_home","opponent_team_id","minutes","pts","fgm","fga","fg3m","fg3a","ftm","fta","oreb","dreb","reb","ast","stl","blk","tov","pf","off_rating","def_rating","net_rating","pace","ts_pct","last_updated_at"
"0022500008","Top8 Off / Bottom22 Def","1","24","Nuggets",False,"0022500008",1610612743,"2025-26",False,1610612750,"240:00",127,46,88,13,26,22,25,10,36,46,24,5,4,12,24,"123.3","112.9","10.4","102.0","0.641","2026-02-05 11:34:10.059681-06"
"0022500013","Top8 Off / Bottom22 Def","1","24","Nuggets",False,"0022500013",1610612743,"2025-26",True,1610612750,"265:00",142,47,101,19,43,29,32,11,34,45,31,6,5,17,18,"119.3","117.9","1.4","106.87","0.617","2026-02-05 13:33:21.650409-06"
"0022500175","Top8 Off / Bottom22 Def","3","10","Knicks",False,"0022500175",1610612752,"2025-26",True,1610612750,"240:00",137,55,102,19,42,8,9,21,29,50,32,7,8,14,21,"141.2","118.8","22.5","96.5","0.646","2026-02-05 11:35:36.773004-06"
"0022500232","Top8 Off / Bottom22 Def","1","24","Nuggets",False,"0022500232",1610612743,"2025-26",False,1610612750,"240:00",123,39,83,14,29,31,38,10,37,47,29,9,6,12,19,"119.4","109.8","9.6","102.5","0.617","2026-02-05 11:37:26.345503-06"
"0022500416","Top8 Off / Bottom22 Def","3","10","Knicks",True,"0022500416",1610612752,"2025-26",False,1610612750,"240:00",104,41,99,11,30,11,15,18,37,55,20,8,2,19,21,"102.0","111.7","-9.7","102.5","0.492","2026-02-05 13:33:09.600325-06"
"0022500530","Top8 Off / Bottom22 Def","5","12","Cavaliers",True,"0022500530",1610612739,"2025-26",False,1610612750,"240:00",122,48,91,11,33,15,21,9,29,38,31,9,2,12,17,"117.3","124.8","-7.5","104.5","0.609","2026-02-05 13:35:23.461979-06"
"0022500542","Top8 Off / Bottom22 Def","5","12","Cavaliers",False,"0022500542",1610612739,"2025-26",True,1610612750,"240:00",146,55,92,15,31,21,25,8,23,31,38,10,2,9,18,"141.7","130.1","11.7","103.0","0.709","2026-02-05 13:35:37.023043-06"
"0022500064","Top8 Off / Top8 Def","4","1","Thunder",False,"0022500064",1610612760,"2025-26",True,1610612750,"240:00",113,38,80,7,26,30,38,5,34,39,19,8,3,7,25,"113.0","106.1","6.9","99.5","0.584","2026-02-05 12:31:47.687245-06"
"0022500293","Top8 Off / Top8 Def","2","8","Celtics",True,"0022500293",1610612738,"2025-26",False,1610612750,"240:00",115,45,96,16,46,9,15,14,29,43,24,10,7,10,21,"119.8","124.0","-4.2","96.0","0.56","2026-02-05 12:32:06.629838-06"
"0022500306","Top8 Off / Top8 Def","7","3","Spurs",True,"0022500306",1610612759,"2025-26",False,1610612750,"240:00",112,44,84,8,33,16,19,7,26,33,17,10,1,10,15,"117.9","133.0","-15.1","94.5","0.606","2026-02-05 12:32:22.189973-06"
"0022500385","Top8 Off / Top8 Def","4","1","Thunder",True,"0022500385",1610612760,"2025-26",False,1610612750,"240:00",107,34,92,11,39,28,30,13,39,52,16,7,10,11,30,"103.9","108.7","-4.9","103.0","0.509","2026-02-05 13:32:34.474819-06"
"0022500552","Top8 Off / Top8 Def","7","3","Spurs",True,"0022500552",1610612759,"2025-26",False,1610612750,"240:00",103,34,88,13,38,22,25,10,39,49,19,6,1,14,22,"103.0","105.1","-2.1","99.5","0.52","2026-02-05 13:35:48.35694-06"
"0022500591","Top8 Off / Top8 Def","6","5","Rockets",False,"0022500591",1610612745,"2025-26",True,1610612750,"240:00",110,39,84,12,28,20,34,10,32,42,19,10,5,12,23,"112.2","107.1","5.1","98.0","0.556","2026-02-05 13:36:33.531017-06"
"0022500598","Top8 Off / Top8 Def","7","3","Spurs",False,"0022500598",1610612759,"2025-26",True,1610612750,"240:00",126,47,94,15,38,17,28,17,26,43,35,6,5,11,20,"127.3","123.0","4.3","99.5","0.593","2026-02-05 14:07:41.212902-06"
"0022500686","Top8 Off / Top8 Def","4","1","Thunder",True,"0022500686",1610612760,"2025-26",False,1610612750,"240:00",111,41,86,11,31,18,20,11,25,36,27,11,5,15,15,"113.3","124.2","-11.0","98.5","0.585","2026-02-05 14:10:02.11632-06"
