"team_id","net_rating","off_rating","def_rating"
1610612752,"6.3","118.8","112.5"
1610612744,"2.0","114.4","112.4"
1610612762,"-7.5","113.7","121.4"
1610612747,"-0.4","116.3","116.7"
1610612737,"-1.2","113.6","114.8"
1610612743,"4.0","120.9","116.9"
1610612750,"4.0","116.8","112.8"
1610612758,"-10.2","109.7","119.9"
1610612751,"-7.4","110.6","118.1"
1610612739,"4.1","117.5","113.3"
1610612738,"7.5","120.2","112.7"
1610612753,"-0.1","113.4","113.6"
1610612749,"-2.8","113.0","115.8"
1610612757,"-1.7","113.7","115.4"
1610612748,"2.1","113.9","111.8"
1610612765,"8.2","116.6","108.5"
1610612746,"-0.3","115.5","115.8"
1610612756,"1.9","114.8","112.9"
1610612760,"11.5","117.9","106.4"
1610612766,"1.6","116.4","114.8"
1610612764,"-11.1","109.4","120.5"
1610612759,"6.0","117.0","111.0"
1610612742,"-3.4","110.3","113.6"
1610612740,"-5.8","112.3","118.1"
1610612754,"-7.4","108.9","116.2"
1610612755,"0.0","114.3","114.3"
1610612741,"-4.1","113.6","117.8"
1610612745,"5.0","117.1","112.0"
1610612761,"1.1","113.2","112.1"
1610612763,"-2.2","113.3","115.6"
